,text,length,pred,target,correct
59,these bitches crazzzyyyyyy,3,0,0,1
60,these bitches <unk>,3,0,0,1
61,the fuckin hoes,3,0,0,1
62,the giants trash,3,2,2,1
63,that bitch .,3,0,0,1
64,this bitch is nasty,4,0,0,1
65,this bitch gmfu .,4,0,0,1
66,these hoes aint yours,4,0,0,1
67,these hoes ain't <unk>,4,0,0,1
68,these hoes ain't <unk>,4,0,0,1
69,these bitches so <unk>,4,0,0,1
70,these bitches love <unk>,4,0,0,1
71,these bitches love soda,4,0,0,1
72,these bitches is wild,4,0,0,1
73,these bitches is crazy,4,0,0,1
74,these bitches always trippin,4,0,0,1
75,these birds messy .,4,2,2,1
76,the jigg is up,4,2,2,1
77,that's still my pussy,4,0,0,1
78,that hoe was <unk>,4,0,0,1
79,that fucking slutty beaner,4,1,1,1
80,that crow has socks,4,2,2,1
81,that bitch is <unk>,4,0,0,1
82,thas my bitch too,4,0,0,1
83,tf bitch do mine,4,0,0,1
84,tk fucking money bitch,4,0,0,1
85,swap meet bound <unk>,4,2,2,1
86,strong jaw ass bitch,4,0,0,1
87,stop <unk> u fags,4,1,0,0
88,stop being a hoe,4,0,0,1
89,stfu hoe &#128079 &#128524,4,0,0,1
90,<unk> being a faggot,4,1,0,0
91,spring <unk> bitches &#128513,4,0,0,1
92,spongebob ass niccas fr,4,1,0,0
93,sounds like a hoe,4,0,0,1
94,<unk> is a faggot,4,1,1,1
95,son of a bitch,4,0,0,1
96,son of a bitch <unk>,5,0,0,1
97,some lying ass hoes lol,5,0,1,0
98,some <unk> for you hoes,5,1,0,0
99,some bitches truly ain't shit,5,0,0,1
100,some bitches barely respect themselves,5,0,0,1
101,some don't cross me bitches,5,0,0,1
102,sombody bring me some pussy,5,0,0,1
103,snapchat me bitches @ <unk>,5,0,0,1
104,smurf a real cat bitch,5,0,0,1
105,she feelin a young niggah,5,0,0,1
106,<unk> still in bitches dms,5,0,0,1
107,secondary playing like hoes .,5,0,0,1
108,say my fucking name hoe,5,0,0,1
109,say my fuccn name hoe,5,0,0,1
110,said you a mean bitch,5,0,0,1
111,s o that real bitch,5,0,0,1
112,<unk> <unk> is a pussy,5,0,0,1
113,really bitch ? no .,5,0,0,1
114,ratchet lol ass lol bitch,5,0,0,1
115,rape a ho ben lol,5,0,0,1
116,rt <unk> the trash generation,5,2,2,1
117,rt <unk> let's go yankees,5,2,2,1
118,rt <unk> <unk> your bitch,5,0,0,1
119,tweekin hoe &#128526 &#128175,4,0,0,1
120,top 5 <unk> pussies,4,0,0,1
121,tired of hoes man,4,0,0,1
122,this nigglet &#10084 &#65039,4,0,1,0
123,this niggah know wassup,4,1,1,1
124,this music is trash,4,2,2,1
125,this is fucking retarded,4,0,0,1
126,this girl is retarded,4,0,1,0
127,this bitch so ratchet,4,0,0,1
128,these hoes aint loyal &#128076,5,0,0,1
129,these hoes ain't loyal &#128527,5,0,0,1
130,these hoes ain't loyal &#128075,5,0,0,1
131,these <unk> hoes be goin,5,0,0,1
132,then i fuck yo bitch,5,0,0,1
133,them brownies tho &#128524 &#128076,5,1,2,0
134,the hoes be rated e,5,0,0,1
135,the fucking royals bitch work,5,0,1,0
136,the bitch is <unk> d,5,0,0,1
137,the bitch got some nerve,5,0,0,1
138,the yankees still suck @nikaaaa3,5,2,2,1
139,thats some hoe shit doe,5,0,0,1
140,that pussy crying for help,5,0,0,1
141,that pussy came gift wrapped,5,0,0,1
142,that nigga <unk> so trash,5,1,0,0
143,that depression shit trash .,5,0,0,1
144,that bitch is corn fed,5,0,0,1
145,that bitch can't touch me,5,0,0,1
146,that bitch a tha tha,5,0,0,1
147,text me with plans nigs,5,2,0,0
148,tanning with my main bitch,5,0,0,1
149,talking angela is a hoe,5,0,0,1
150,talk about pussy power &#128530,5,0,0,1
151,take off you fucking hoser,5,0,0,1
152,"superman your ho , <unk>",5,0,0,1
153,suck my super monkey balls,5,0,0,1
154,stop <unk> celtics trash please,5,2,2,1
155,stop twatching me bitch .,5,0,0,1
156,stafford trash without megatron <unk>,5,2,2,1
157,spark these bitches <unk> .,5,0,0,1
158,sosa on the beat ho,5,2,0,0
159,sorry all my fellow negros,5,1,2,0
160,rt <unk> $ &gt these bitches,6,0,0,1
161,rt <unk> &amp fuck these bitches,6,0,0,1
162,rt <unk> trust no bitch <unk>,6,0,0,1
163,rt <unk> @vintage_monroe_ bitch you gorgeous,6,0,0,1
164,rt <unk> @white_thunduh bitch spoil me,6,0,0,1
165,rt <unk> flappy bird is dusty,6,2,2,1
166,rt <unk> we ain't friends hoe,6,0,0,1
167,rt <unk> white bitches love cocaine,6,0,0,1
168,rt @prettygrl_rocky pussy this pussy that,6,0,0,1
169,rt @phishlicia <unk> is approaching bitches,6,0,0,1
170,twitter is for fags .,5,1,1,1
171,<unk> sounds like twat .,5,0,0,1
172,trust none bitch i don't,5,0,0,1
173,<unk> balls on <unk> bitch,5,0,0,1
174,<unk> trash <unk> time &#128556,5,2,2,1
175,took a broke bitch <unk>,5,0,0,1
176,till <unk> <unk> dat hoe,5,0,0,1
177,this tastes like wolf pussy,5,0,0,1
178,this shit <unk> trash .,5,0,0,1
179,this ma niggah <unk> &#128076,5,0,0,1
180,this class ghetto as hell,5,0,0,1
181,this bitch kicked me out,5,0,0,1
182,this bitch and her <unk>,5,0,0,1
183,they some bitch ass niggas,5,1,0,0
184,they do the pussy good,5,0,0,1
185,these people are fags .,5,1,1,1
186,these hoes will be exposed,5,0,0,1
187,these hoes swear their faithful,5,0,0,1
188,these hoes soo <unk> &#127936,5,0,0,1
189,these hoes kno bout me,5,0,0,1
190,these hoes crazy yo .,5,0,0,1
191,these hoes be boof smh,5,0,0,1
192,<unk> in the face ass bitch,6,0,0,1
193,sounded like a bitch but whatever,6,0,0,1
194,sometime i wish i wasn't colored,6,0,0,1
195,someone tell this bitch to stfu,6,0,0,1
196,someone please bring me goldfish crackers,6,2,2,1
197,some of you bitches are <unk>,6,0,0,1
198,some of y'all females undercover hoes,6,1,0,0
199,some of these hoes are loyal,6,0,0,1
200,sock the pussy like i'm vegeta,6,0,0,1
201,sneaky hoes http t .co <unk>,6,0,0,1
202,smoke sesh niggah what u mean,6,0,0,1
203,slut ass queen bee bitch .,6,0,0,1
204,shoot you and your shorty bitch,6,0,0,1
205,shittin on all my old hoes,6,0,0,1
206,she sounded like a bird <unk>,6,2,2,1
207,she know that im that niggah,6,0,0,1
208,she fuckin wit a young niggah,6,0,0,1
209,seeing so many basic bitches rn,6,0,0,1
210,see you fags in 8 hours,6,1,0,0
211,screaming like a lil bitch &#128514,6,0,0,1
212,stop texting these hoes good morning,6,0,0,1
213,<unk> is not ugly <unk> <unk>,6,1,2,0
214,ross text me back you twat,6,1,0,0
215,ross a bitch for not responding,6,0,0,1
216,real niccas relate fuk niccas <unk>,6,0,0,1
217,ready to bounce out dis bitch,6,0,0,1
218,raised round real niccas no <unk>,6,0,0,1
219,rt <unk> these hoes ain't loyal,6,1,0,0
220,rt <unk> obama a bitch .,6,0,0,1
221,rt @xdsmooth free my niggah @1bookieg,6,0,0,1
222,rt <unk> <unk> is a cunt,6,1,0,0
223,rt <unk> hoes on my <unk>,6,0,0,1
224,these hoes getting outta hand <unk>,6,0,0,1
225,these hoes cant fuck wit you,6,0,0,1
226,these hoes be thirsty for attention,6,0,0,1
227,these hoes ain't loyal <unk> &#128530,6,0,0,1
228,these brownies http t .co <unk>,6,2,2,1
229,these bitches smell like fish &#128557,6,0,0,1
230,these bitches loud for no reason,6,0,0,1
231,these bitches funny like mike <unk>,6,0,0,1
232,these bitches are taking <unk> doe,6,0,0,1
233,there's other bad bitches &#128514 &#128514,6,0,0,1
234,them hoes gone be called <unk>,6,0,0,1
235,"the price is wrong , bitch",6,0,0,1
236,the <unk> bitches like my <unk>,6,0,0,1
237,the bad bitches still awake ?,6,0,0,1
238,the monday has been a bitch,6,0,0,1
239,that'd been a ghetto little meal,6,2,2,1
240,that pussy sooo good &#128524 &#128149,6,0,0,1
241,that bitch got 5 million boyfriends,6,0,0,1
242,that ass got a niggah <unk>,6,0,0,1
243,that 'ouija' movie look like trash,6,1,2,0
244,<unk> got all the hoes &#128557,6,0,0,1
245,tbt nigguh http t .co <unk>,6,0,0,1
246,take yo hoe ass to sleep,6,0,0,1
247,<unk> hoes http t .co <unk>,6,0,0,1
248,swag killed the bitch like <unk>,6,0,0,1
249,summer hoes turn into winter wifeys,6,0,0,1
250,sub tweeting and <unk> lol bitch,6,0,0,1
251,stupid cunt bitch on the road,6,0,0,1
252,stupid and ain't got hoes <unk>,6,0,0,1
253,still downtown with these bitches .,6,0,0,1
254,stiff armed his hoe ass lmao,6,0,0,1
255,stay home then bitch fuck u,6,0,1,0
256,rt @thachosenkid321 @donquixtote he trash tbh <unk>,7,2,2,1
257,rt <unk> yall niggas is hoes .,7,0,0,1
258,rt <unk> u ain't sailor moon bitch,7,1,0,0
259,rt <unk> i say nigger with love,7,1,0,0
260,rt @salomanizor kick her in the cunt,7,0,0,1
261,rt <unk> i inhale white exhale nigger,7,1,0,0
262,rt <unk> @vivalakristia he bein a bitch,7,1,0,0
263,rt <unk> idc about yall bitches yo,7,0,0,1
264,turnup on all of you hoes,6,0,0,1
265,too many bad bitches last night,6,0,0,1
266,tony blair equals <unk> bitch #morningjoe,6,0,0,1
267,to many dumb hoes in milwaukee,6,0,0,1
268,tickets hoe http t .co <unk>,6,0,0,1
269,throw some orange on dat bitch,6,0,0,1
270,those my v necks now ho,6,0,0,1
271,this niggah <unk> is a fool,6,0,0,1
272,this new avi trash or nah,6,2,2,1
273,this hoe loud . . .,6,0,0,1
274,this hangover a bitch . <unk>,6,0,0,1
275,this guy is 100% retarded .,6,0,0,1
276,this flappy bird game <unk> .,6,2,2,1
277,this bitches voice &#128567 &#128567 &#128567,6,0,0,1
278,this bitch is so annoying&#128530 &#128530,6,0,0,1
279,this bitch done blew my high,6,0,0,1
280,this bitch almost lost her life,6,0,0,1
281,this <unk> weather is a bitch,6,0,0,1
282,thirsty ass bitch don't sweat me,6,0,0,1
283,they trynna hoe geno td throw,6,0,0,1
284,they got the redskins faking injuries,6,2,2,1
285,they call me chief weak bitch,6,0,0,1
286,these niggas be actin like bitches,6,1,0,0
287,these hoes need jesus y'all .,6,0,0,1
288,skippy and the <unk> . <unk> @ronandfezsxm,7,2,2,1
289,shut up birds it's bed time .,7,2,2,1
290,shut the fuck up you fucking cunt,7,0,0,1
291,<unk> out to all my goth bitches,7,0,0,1
292,shoulda put retard mikey on <unk> <unk>,7,1,0,0
293,shoot dice let yo hoe fade me,7,0,0,1
294,shoot dat nigga n his <unk> bitch,7,0,0,1
295,she got me like fuck that bitch,7,0,0,1
296,she got every niggah lookin like dam,7,0,1,0
297,she even had a hoe name .,7,0,0,1
298,sharkeisha isn't dead you're all retarded lop,7,1,0,0
299,<unk> is high on cat nip rn,7,2,2,1
300,scrappy mom run all his bitches away,7,0,0,1
301,rihanna just slaying any bitch &#128525 &#128525,7,0,0,1
302,riding in that ooo bitch it's nasty,7,0,0,1
303,rick is not a bitch . #thewalkingdead,7,0,0,1
304,repeat after me where my bitches ?,7,0,0,1
305,real shit i love eating pussy .,7,0,0,1
306,real niggas let real bitches come &#128070,7,0,0,1
307,ready to go get my fried oreos,7,2,2,1
308,rambo bout to flex on these hoes,7,0,0,1
309,rt <unk> @eddie_sativa87 you're a fucking queer,7,1,1,1
310,rt <unk> you hoes are lost .,7,0,0,1
311,rt <unk> only real bitches suck dick,7,0,0,1
312,rt <unk> too many bitches is shady,7,0,0,1
313,rt <unk> i have 0 hoes lmfao,7,1,0,0
314,rt <unk> this is the life nigger,7,1,0,0
315,rt <unk> that bitch ain't loyal .,7,0,0,1
316,rt <unk> possum a hoe . .,7,0,0,1
317,rt <unk> mary jane my only bitch,7,0,0,1
318,rt <unk> making today my bitch &#128520,7,0,0,1
319,rt @thereal_emandm settling down is for pussies,7,2,0,0
320,that bitch mouth made the honor roll,7,0,0,1
321,that bitch is goin off off off,7,0,0,1
322,that bitch filthy http t .co <unk>,7,0,0,1
323,that bitch came flyin in lmao .,7,0,0,1
324,thanksgiving early hoe http t .co <unk>,7,0,0,1
325,text me nig nogs 630 <unk> <unk>,7,0,0,1
326,terrifying . <unk> http t .co <unk>,7,2,2,1
327,tell them hoes i'm all <unk> out,7,0,0,1
328,tell me that that pussy is <unk>,7,0,0,1
329,tell dem thot bitches im not right,7,0,0,1
330,tell a itty bitty bitch pipe down,7,0,0,1
331,team john in this bitch &#128588 &#128588,7,0,0,1
332,taught me how to hate a bitch,7,0,0,1
333,swag bitch #gratata http t .co <unk>,7,0,0,1
334,summer hoes turning into winter wifeys &#128553,7,0,0,1
335,subtweeting little bitch taking the high road,7,0,0,1
336,stupid hoe is so wack &#127926 &#128526,7,0,0,1
337,stop using the word redskin s .,7,2,0,0
338,"stop <unk> <unk> , charlie brown #rejectedpeanutsspecials",7,2,2,1
339,<unk> up late to watch #ichiro #yankees,7,2,2,1
340,son of a bitch . . .,7,0,0,1
341,someone shut this beaner up please .,7,1,1,1
342,"some women , are straight bitches .",7,0,0,1
343,some ho hitting on my wife lol,7,0,0,1
344,some bitches curve game be too serious,7,0,0,1
345,so sick of you fake ass hoes,7,0,0,1
346,so many bitches in one sentence <unk>,7,0,1,0
347,snoop with the hoes &#128514 &#128514 &#128514,7,0,0,1
348,smoke good weed with a bad bitch,7,0,0,1
349,smh u niggers &amp ur music knowledge,7,0,1,0
350,"smellin good , bitches wanna hug me",7,0,0,1
351,slide in the pussy like a surfboard,7,0,0,1
352,thirsty <unk> &lt &lt &lt not attractive,7,0,0,1
353,"they hoes ain't loyal , they rotate",7,0,0,1
354,these people at jury <unk> are retarded,7,0,0,1
355,these niggas run they mouth like bitches,7,1,0,0
356,these niggas retarded . . . lmfaoo,7,0,1,0
357,these niggas pillow talkin thats hoe shit,7,0,0,1
358,these hoes they loving the <unk> &#128564,7,0,0,1
359,these hoes really make me laugh lol,7,0,0,1
360,these hoes gotta pay for my company,7,0,0,1
361,these hoes getting smart gotta watch them,7,0,0,1
362,these hoes be trying <unk> doing <unk>,7,0,0,1
363,these hoes ain't loyal . . .,7,0,0,1
364,these hoes ain't got nothing on ya,7,0,0,1
365,these bitches want the next best thing,7,0,0,1
366,these bitches really love soda out here,7,0,0,1
367,these bitches man they love to harass,7,0,0,1
368,these bitches been killin me all day,7,0,0,1
369,them <unk> angel hoes need some <unk>,7,0,0,1
370,them queer ass shorts <unk> got on,7,0,1,0
371,the solution is simple buy a bitch,7,0,0,1
372,the hoes are for everybody my nigga,7,0,0,1
373,the bitches behind me are so annoying,7,0,0,1
374,the birds and the bees &#128038 &#128029,7,2,2,1
375,the bird is the word . <unk>,7,2,2,1
376,the saints are pure trash lol smh,7,2,2,1
377,the karate kid is such a pussy,7,0,0,1
378,that vine started a coon <unk> bruh,7,1,0,0
379,that stupid bitch karma best pay up,7,0,0,1
380,that pussy fat whatchu feeding it ?,7,0,0,1
381,that nigguh will never play football again,7,2,0,0
382,that nigga <unk> trash lmao dolphins trash,7,1,0,0
383,that hoe beefing over tunchi <unk> <unk>,7,0,0,1
384,rt <unk> okay okay but . trans birds,8,1,2,0
385,rt @thereal_emandm @red_is_raw so is your pussy lmao,8,0,0,1
386,rt <unk> @visually_gifted they sound like soulless cunts,8,1,0,0
387,rt <unk> @1inkkofrosess that hoe so <unk> &#128293,8,0,0,1
388,rt <unk> cumming in her pussy was love,8,0,0,1
389,rt <unk> paybacks a bitch it really is,8,0,0,1
390,rt @souljaboy k michelle pussy smell like shit,8,0,0,1
391,rt <unk> what y'all hoes up to ?,8,0,0,1
392,rt <unk> bad bitches http t .co <unk>,8,0,0,1
393,rt <unk> i hate a dumb bitch .,8,0,0,1
394,rt <unk> these bitches ain't real . &#128514,8,0,0,1
395,"turn the entire fuck up , hoes",7,0,0,1
396,turn a fuck nigguh to a <unk>,7,0,0,1
397,touchdown hoe . . . touchdown hoe,7,0,0,1
398,too much makeup so trash . .,7,2,2,1
399,too little too late bitch ass nigga,7,0,0,1
400,titties nd pussy http t .co <unk>,7,0,0,1
401,time to start listing to il spook,7,0,2,0
402,time for some panera bitch <unk> &#10071,7,0,0,1
403,<unk> <unk> toe <unk> up yo hoe,7,0,0,1
404,thursdays really been trash this season @nfl,7,2,2,1
405,<unk> you right in the throat bitch,7,0,0,1
406,"this target is ghetto , but whatever",7,2,2,1
407,this hoe taken by the world smh,7,0,0,1
408,this headache is a bitch &#128543 &#128548,7,0,0,1
409,this fuckin bird http t .co <unk>,7,0,0,1
410,this bitch takes bitch to another level,7,0,0,1
411,this bitch slow playin like the fuckkk,7,0,0,1
412,this bitch really has no filter &#128528,7,0,0,1
413,this bitch pregnant again &#128064 &#128514 &#128514,7,0,0,1
414,this bitch lying to me &#128514 &#128530,7,0,0,1
415,this bitch @lvl_7_eevee buys <unk> water .,7,0,2,0
416,smile at the hoes who hate you .,8,0,0,1
417,smile at the bitches who hate you .,8,0,0,1
418,<unk> <unk> yokel husband http t .co <unk>,8,2,2,1
419,since a <unk> bitch we been them niggas,8,0,0,1
420,silly bitch shit never sleeps huh . .,8,0,0,1
421,sike naw i love big smelly hoes doe,8,0,0,1
422,shut yo <unk> lookin ass up <unk> bitch,8,0,0,1
423,shut up bitch i wasn't gonna roast .,8,0,0,1
424,<unk> . maybe it's a canadian bitch thing,8,0,0,1
425,shower rod that hoe http t .co <unk>,8,0,0,1
426,shoot that nigga an his shorty bitch .,8,1,1,1
427,she think she bad but my bitch meaner,8,0,0,1
428,she said aye <unk> <unk> lil bitch lol,8,0,0,1
429,she is not a whore she a ho,8,0,0,1
430,she give away that pussy like loose change,8,0,0,1
431,she a true boss bitch i respect her,8,0,0,1
432,"seven digits niggas , two commas hoe .",8,0,0,1
433,seaside smell like stank ass pussy <unk> &#128514,8,0,0,1
434,school ghetto as fuck http t .co <unk>,8,0,0,1
435,"savage can fuck right off , <unk> cunt",8,0,0,1
436,salute a real nicca http t .co <unk>,8,2,0,0
437,s o the young bitches &amp females &#128514,8,0,0,1
438,roy <unk> so trash . it's unbelievable .,8,2,0,0
439,<unk> on gta iv is a pussy .,8,0,0,1
440,roll that weed bitch shake that ass hoe,8,0,0,1
441,really ain't nuttin to cut that bitch off,8,0,0,1
442,real niggas let real bitches cum first &#128540,8,0,0,1
443,rap bitches prolly scared of remy ma lol,8,0,0,1
444,rt <unk> nah these bitches up harbor city,8,0,0,1
445,rt <unk> i bitch about unnecessary things lol,8,0,0,1
446,rt @xdsmooth i took yo job bitch @1bookieg,8,0,0,1
447,rt @wwwobert_ new avi thanks to b oreo,8,2,2,1
448,these bitches love me . these niggas copy,8,0,0,1
449,there you go acting like a hoe &#128530,8,0,0,1
450,there are some retarded ass movies on netflix,8,0,0,1
451,them quiet girls be hoes to watch out,8,0,0,1
452,them hoes look so clean on foot .,8,0,0,1
453,them bad bitches blow kisses by my <unk>,8,0,0,1
454,thee bears are trash tho . . .,8,2,2,1
455,the fuck does a yellow cloud do ?,8,0,0,1
456,the brownies i just made are a sin,8,2,2,1
457,the blacks in #california are typical niggers .,8,1,1,1
458,the bitches are back http t .co <unk>,8,0,0,1
459,that pussy best be shaved for the holidays,8,0,0,1
460,that long hair doesn't cover up your redneck,8,0,2,0
461,that bitch <unk> my hair way to short,8,0,0,1
462,that bitch could sit on my face .,8,0,0,1
463,that bitch amanda ran away from me &#128514,8,0,0,1
464,thanks charlie @charlie4927 @stacydmomof5 @revkahjc @pattism74 @cantucimblonde @kacado,8,2,2,1
465,thanks charlie @charlie4927 @revkahjc @stacydmomof5 @pattism74 @cantucimblonde @kacado,8,2,2,1
466,text me instead of playing flappy birds <unk>,8,2,2,1
467,<unk> out dis hoe http t .co <unk>,8,0,0,1
468,taco bell is super trash when you're sober,8,2,2,1
469,<unk> on this hoe asking dumb ass questions,8,0,0,1
470,<unk> cuz skinny niggah but my dick long,8,0,0,1
471,stupid bitch should have stayed home &#128545 &#128530,8,0,0,1
472,<unk> up fasho cause iont trust no hoe,8,0,0,1
473,<unk> is a fuckin queer . . .,8,0,1,0
474,steve <unk> <unk> cunt http t .co <unk>,8,0,0,1
475,speak to my face you fake bitches .,8,0,0,1
476,somebody tell these pussy niggas i got em,8,0,0,1
477,some of these sex <unk> are fucking retarded,8,0,0,1
478,social networks will ruin a bitches game .,8,0,0,1
479,smoking brooklyn got me high as giraffe pussy,8,0,0,1
480,<unk> a hoe y'all . . . .,8,0,0,1
481,"trust no player , fear no bitch .",8,0,0,1
482,to a hood bitch gucci voice is <unk>,8,1,0,0
483,tired of these hoes breathing my air .,8,0,0,1
484,time to stunt on these hoes &#128120 &#128536,8,0,0,1
485,time to go make the gym my bitch,8,0,0,1
486,thou shall not mock ryan the future kelly,8,2,2,1
487,those guys are the definition of white trash,8,1,1,1
488,this world needs a build a bitch workshop,8,0,0,1
489,this store is so redneck . . .,8,0,2,0
490,this no beef thing is for the birds,8,2,2,1
491,this nigguh got somebody contact as ebola lol,8,2,0,0
492,this niggah better remember to bring his sperrys,8,0,0,1
493,this niggah aaron had me weak last night,8,2,0,0
494,this game pissing me off including that bitch,8,0,0,1
495,this bitch on maury got 11 baby daddy's,8,0,0,1
496,this bitch looks like a tranny tho .,8,0,0,1
497,this bitch look like <unk> <unk> older bro,8,0,0,1
498,this bitch just chillin http t .co <unk>,8,0,0,1
499,this bitch is crying http t .co <unk>,8,0,0,1
500,this bih stay in this ghetto ass neighborhood,8,0,0,1
501,this being sick is for the birds .,8,2,2,1
502,"this isn't <unk> , charlie brown . #rejectedpeanutsspecials",8,2,2,1
503,this charlie murder game is pretty dope <unk>,8,0,2,0
504,they got some trashy ass hoes out here,8,0,0,1
505,these side bitches winning son . . .,8,0,0,1
506,these niggas ain't shit but hoes with tricks,8,1,0,0
507,these la bitches thirsty for a hit single,8,0,0,1
508,these hoes are hilarious these days &#128514 &#128514,8,0,0,1
509,these hoes ain't loyal and niggas ain't either,8,0,0,1
510,these bum ass bitches on my block <unk>,8,0,0,1
511,these brownies are bomb http t .co <unk>,8,2,2,1
512,shades of eric <unk> past gold <unk> #yankees <unk>,9,2,2,1
513,"seriously , retarded is a really funny word .",9,0,0,1
514,screaming money over hoes nigga you ain't fuck shit,9,0,0,1
515,saltine crackers for dinner lol . sad lyfe .,9,2,2,1
516,"rose colored glasses only , you guys . <unk>",9,2,2,1
517,<unk> would get jealous though . he a bitch,9,0,0,1
518,rihanna must got the holy <unk> of pussy &#128514,9,0,0,1
519,rt and pass that bitch http t .co <unk>,9,0,0,1
520,rt <unk> chest tattoos on females are trash .,9,2,2,1
521,rt @xdsmooth #shoutout to that niggah @1bookieg go follow,9,2,0,0
522,rt <unk> i use the word cunt very <unk>,9,0,0,1
523,rt <unk> niggas ain't shit but hoes with dicks,9,0,0,1
524,rt <unk> @vivalakash &#128514 &#128514 &#128514 got <unk> hoes,9,1,0,0
525,rt @trackinblackkev <unk> shut the fuck up dumb bitch,9,0,0,1
526,rt <unk> you had me at eating pussy .,9,0,0,1
527,rt <unk> ready to make today my bitch .,9,0,0,1
528,rt @thehighestpeak_ ya lil dumb ass bitch ian <unk>,9,0,0,1
529,rt <unk> spider man was a bitch <unk> tho,9,0,0,1
530,rt @summerdawn_1996 <unk> i know cunt nugget &#128514 &#128514,9,0,0,1
531,rt <unk> fucking nosey ass bitch i swear lol,9,0,0,1
532,rt <unk> don't got a problem smacking a bitch,9,0,0,1
533,rt @souljaboy ain't got time for stupid bitches &#128557,9,0,0,1
534,rt <unk> a hoe gone be a hoe &#128564,9,0,0,1
535,rt <unk> fuckin skyler white is such a bitch,9,0,0,1
536,rt <unk> pussy niggas don't get no pussy nigga,9,1,0,0
537,rt <unk> instagram needs to stop being a bitch,9,0,0,1
538,rt <unk> meet me and my bitches @ #mansionelan,9,0,0,1
539,"rt <unk> @woods_lamar shut your nigger ass , lamar",9,0,1,0
540,rt <unk> she said i got to many hoes,9,1,0,0
541,rt @prettycha305 monkey see &#128585 &#128584 monkey do <unk>,9,2,0,0
542,rt <unk> some birds aren't meant to be caged,9,2,2,1
543,turn it up with ma down bitch &#128076,8,0,0,1
544,switch a roo yo hoe let me hit her,9,0,0,1
545,stupid bitches . fucking skanks . dumb hoes .,9,0,0,1
546,stupid <unk> &#128529 &lt &lt &lt fuck . &#128530,9,0,0,1
547,studying for this bio test like a hoe &#128554,9,0,0,1
548,stop <unk> off in the shower queer boy @ilovebamf,9,1,0,0
549,still waiting for oomf to hit that hoe lololol,9,0,0,1
550,step up and take your <unk> <unk> #iubb #hoosiers,9,0,2,0
551,"stay <unk> , #bitches . . . . .",9,2,0,0
552,started with 100 bricks now i'm sold out bitch,9,0,0,1
553,start punching hoes in they <unk> and shit .,9,0,0,1
554,son why is our mail lady so ghetto &#128529,9,0,0,1
555,something like a <unk> even check my horoscope bitch,9,0,0,1
556,someone tell this hoe to turn on lion king,9,0,0,1
557,someone tell the royals to stay home there <unk>,9,2,2,1
558,someone probably told him 6 god was trash .,9,2,2,1
559,some rednecks just <unk> down the freeway &gt <unk>,9,0,0,1
560,some of these niqqa a straight pussy whipped &#128165,9,0,0,1
561,some of these hoes out here for everybody .,9,0,0,1
562,some hoes that tweet just make me mad lol,9,0,0,1
563,some army females just bitch about everything . .,9,0,0,1
564,soft niggas usually send the hate threw the bitches,9,1,0,0
565,"so , about this flappy bird game then .",9,2,2,1
566,so some pussy don't cream when they cum ?,9,0,0,1
567,sluts and hoes are needed <unk> their services .,9,0,0,1
